# time	AI0	AI1
2.900000000000000147e-02 3.665689149560117377e-01 3.128054740957966762e-01
3.400000000000000244e-02 3.616813294232649190e-01 3.128054740957966762e-01
3.899999999999999994e-02 3.519061583577712815e-01 3.128054740957966762e-01
4.499999999999999833e-02 3.225806451612903136e-01 3.128054740957966762e-01
5.000000000000000278e-02 3.079178885630498574e-01 3.128054740957966762e-01
5.399999999999999939e-02 3.274682306940371324e-01 3.128054740957966762e-01
5.899999999999999689e-02 3.323558162267839511e-01 3.128054740957966762e-01
6.400000000000000133e-02 3.176930596285434949e-01 3.128054740957966762e-01
6.900000000000000577e-02 3.030303030303030387e-01 3.079178885630498574e-01
7.399999999999999634e-02 3.225806451612903136e-01 3.128054740957966762e-01
7.900000000000000078e-02 3.323558162267839511e-01 3.128054740957966762e-01
8.400000000000000522e-02 3.128054740957966762e-01 3.128054740957966762e-01
8.999999999999999667e-02 2.981427174975562200e-01 3.128054740957966762e-01
9.500000000000000111e-02 3.225806451612903136e-01 3.128054740957966762e-01
9.900000000000000466e-02 3.274682306940371324e-01 3.030303030303030387e-01
1.039999999999999952e-01 3.128054740957966762e-01 3.128054740957966762e-01
1.089999999999999997e-01 2.981427174975562200e-01 3.128054740957966762e-01
1.140000000000000041e-01 3.225806451612903136e-01 3.128054740957966762e-01
1.189999999999999947e-01 3.274682306940371324e-01 3.128054740957966762e-01
1.239999999999999991e-01 3.128054740957966762e-01 3.128054740957966762e-01
1.300000000000000044e-01 3.030303030303030387e-01 3.128054740957966762e-01
1.350000000000000089e-01 3.225806451612903136e-01 3.128054740957966762e-01
1.400000000000000133e-01 3.274682306940371324e-01 3.128054740957966762e-01
1.439999999999999891e-01 3.079178885630498574e-01 3.128054740957966762e-01
1.489999999999999936e-01 3.030303030303030387e-01 3.128054740957966762e-01
1.539999999999999980e-01 3.274682306940371324e-01 3.128054740957966762e-01
1.590000000000000024e-01 3.323558162267839511e-01 3.128054740957966762e-01
1.640000000000000069e-01 3.128054740957966762e-01 3.128054740957966762e-01
1.690000000000000113e-01 2.981427174975562200e-01 3.128054740957966762e-01
1.749999999999999889e-01 3.225806451612903136e-01 3.176930596285434949e-01
1.799999999999999933e-01 3.274682306940371324e-01 3.176930596285434949e-01
1.839999999999999969e-01 3.030303030303030387e-01 3.176930596285434949e-01
1.890000000000000013e-01 2.981427174975562200e-01 3.128054740957966762e-01
1.940000000000000058e-01 3.225806451612903136e-01 3.128054740957966762e-01
1.990000000000000102e-01 3.274682306940371324e-01 3.079178885630498574e-01
2.039999999999999869e-01 3.079178885630498574e-01 3.128054740957966762e-01
2.089999999999999913e-01 2.981427174975562200e-01 3.128054740957966762e-01
2.149999999999999967e-01 3.225806451612903136e-01 3.128054740957966762e-01
2.200000000000000011e-01 3.323558162267839511e-01 3.176930596285434949e-01
2.250000000000000056e-01 3.079178885630498574e-01 3.176930596285434949e-01
2.290000000000000091e-01 2.981427174975562200e-01 3.030303030303030387e-01
2.340000000000000135e-01 3.176930596285434949e-01 3.128054740957966762e-01
2.389999999999999902e-01 3.274682306940371324e-01 3.128054740957966762e-01
2.439999999999999947e-01 3.128054740957966762e-01 3.176930596285434949e-01
2.489999999999999991e-01 2.981427174975562200e-01 3.128054740957966762e-01
2.540000000000000036e-01 3.225806451612903136e-01 3.176930596285434949e-01
2.600000000000000089e-01 3.274682306940371324e-01 3.128054740957966762e-01
